# time_s density
142.850574 5.22748232e-05
142.894044 7.3148922e-05
142.937514 0.000101623265
142.980984 0.000140167785
143.024453 0.000191943377
143.067923 0.000260956373
143.111393 0.000352235025
143.154863 0.0004720272
143.198333 0.00062801695
143.241802 0.000829555717
143.285272 0.00108790159
143.328742 0.00141645739
143.372212 0.00183099549
143.415681 0.00234985405
143.459151 0.0029940866
143.502621 0.00378754395
143.546091 0.00475686536
143.58956 0.00593135466
143.63303 0.00734271685
143.6765 0.00902463247
143.71997 0.0110121501
143.763439 0.013340883
143.806909 0.0160460036
143.850379 0.0191610389
143.893849 0.0227164819
143.937319 0.0267382484
143.980788 0.0312460189
144.024258 0.0362515258
144.067728 0.0417568521
144.111198 0.0477528261
144.154667 0.0542175984
144.198137 0.0611154976
144.241607 0.0683962538
144.285077 0.075994678
144.328546 0.0838308681
144.372016 0.0918109956
144.415486 0.0998287008
144.458956 0.107767098
144.502425 0.115501355
144.545895 0.122901791
144.589365 0.129837382
144.632835 0.13617956
144.676305 0.141806151
144.719774 0.146605295
144.763244 0.150479158
144.806714 0.153347295
144.850184 0.155149478
144.893653 0.155847877
144.937123 0.155428479
144.980593 0.153901684
145.024063 0.151302051
145.067532 0.147687216
145.111002 0.143136037
145.154472 0.137746074
145.197942 0.131630526
145.241411 0.124914787
145.284881 0.117732779
145.328351 0.11022325
145.371821 0.102526182
145.415291 0.0947794746
145.45876 0.0871160138
145.50223 0.0796612363
145.5457 0.0725312339
145.58917 0.0658314309
145.632639 0.0596558221
145.676109 0.0540867282
145.719579 0.0491950009
145.763049 0.0450405875
145.806518 0.0416733531
145.849988 0.0391340532
145.893458 0.0374553499
145.936928 0.0366627774
145.980397 0.0367755748
146.023867 0.0378073267
146.067337 0.0397663736
146.110807 0.0426559808
146.154276 0.0464742769
146.197746 0.0512139966
146.241216 0.0568620814
146.284686 0.0633992045
146.328156 0.0707992936
146.371625 0.0790291293
146.415095 0.0880480859
146.458565 0.097808074
146.502035 0.108253725
146.545504 0.119322831
146.588974 0.130947043
146.632444 0.143052784
146.675914 0.155562329
146.719383 0.16839498
146.762853 0.181468245
146.806323 0.194698928
146.849793 0.208004048
146.893262 0.221301503
146.936732 0.234510423
146.980202 0.247551184
147.023672 0.260345095
147.067142 0.272813779
147.110611 0.284878333
147.154081 0.296458375
147.197551 0.307471089
147.241021 0.317830419
147.28449 0.327446557
147.32796 0.336225847
147.37143 0.344071218
147.4149 0.350883231
147.458369 0.356561747
147.501839 0.361008232
147.545309 0.364128598
147.588779 0.365836487
147.632248 0.366056821
147.675718 0.364729447
147.719188 0.361812635
147.762658 0.357286237
147.806128 0.351154288
147.849597 0.343446866
147.893067 0.334221063
147.936537 0.323560983
147.980007 0.311576709
148.023476 0.298402269
148.066946 0.28419267
148.110416 0.26912013
148.153886 0.253369671
148.197355 0.237134277
148.240825 0.220609845
148.284295 0.203990141
148.327765 0.187461982
148.371234 0.171200843
148.414704 0.155367051
148.458174 0.140102679
148.501644 0.125529251
148.545114 0.111746263
148.588583 0.0988305414
148.632053 0.0868363777
148.675523 0.0757963723
148.718993 0.0657228819
148.762462 0.0566099498
148.805932 0.0484355924
148.849402 0.0411643105
148.892872 0.0347497024
148.936341 0.029137065
148.979811 0.0242658881
149.023281 0.0200721613
149.066751 0.0164904373
149.11022 0.0134556121
149.15369 0.0109044019
149.19716 0.00877651394
149.24063 0.00701552188
149.2841 0.00556946623
149.327569 0.00439121048
149.371039 0.00343858664
149.414509 0.00267436726
149.457979 0.00206610099
149.501448 0.00158584704
149.544918 0.00120984112
149.588388 0.000918121579
149.631858 0.000694140277
149.675327 0.000524378362
149.718797 0.000397983053
149.762267 0.000306437553
149.805737 0.000243272977
149.849206 0.000203828266
149.892676 0.000185061758
